Date,Sales Revenue,Orders,Customers,Operating Cost
2022-01-01,72000,245,980,48000
2022-02-01,74500,252,995,49200
2022-03-01,76800,261,1010,50100
2022-04-01,79200,268,1035,50800
2022-05-01,81500,275,1060,51500
2022-06-01,83800,282,1088,52200
2022-07-01,85200,288,1110,52800
2022-08-01,87600,295,1138,53500
2022-09-01,89800,302,1165,54200
2022-10-01,92400,315,1198,55100
2022-11-01,95800,328,1235,56200
2022-12-01,101200,348,1280,57800
2023-01-01,88500,298,1310,59800
2023-02-01,91200,305,1338,60500
2023-03-01,94800,318,1372,61200
2023-04-01,97800,325,1405,62000
2023-05-01,101500,338,1440,62800
2023-06-01,104200,345,1475,63500
2023-07-01,106800,352,1508,64200
2023-08-01,109500,361,1542,65100
2023-09-01,112800,372,1580,65800
2023-10-01,118600,388,1625,66800
2023-11-01,125400,405,1688,68200
2023-12-01,138900,428,1755,70500
